2023-07-17 19:53:43 | INFO | dispatcher.py:329 | Run polling for bot @wb_auto_comment_bot id=6047290937 - 'Автоответчик WB'
2023-07-17 19:53:44 | INFO | dispatcher.py:160 | Update id=708640221 is handled. Duration 264 ms by bot id=6047290937
2023-07-17 19:53:47 | INFO | dispatcher.py:160 | Update id=708640222 is handled. Duration 109 ms by bot id=6047290937
2023-07-17 19:53:48 | INFO | dispatcher.py:160 | Update id=708640223 is handled. Duration 94 ms by bot id=6047290937
2023-07-17 19:53:49 | INFO | dispatcher.py:160 | Update id=708640224 is handled. Duration 78 ms by bot id=6047290937
2023-07-17 19:53:53 | INFO | dispatcher.py:160 | Update id=708640225 is handled. Duration 188 ms by bot id=6047290937
2023-07-17 19:54:50 | INFO | dispatcher.py:345 | Polling stopped for bot @wb_auto_comment_bot id=6047290937 - 'Автоответчик WB'
2023-07-17 19:54:50 | INFO | dispatcher.py:520 | Polling stopped
2023-07-17 19:54:50 | ERROR | bot.py:89 | Возникла ошибка
2023-07-17 19:54:53 | INFO | __init__.py:2138 | Target [ID:612075626]: success
2023-07-17 19:54:53 | INFO | __init__.py:2138 | 1 messages successful sent.
2023-07-17 19:54:53 | INFO | dispatcher.py:493 | Start polling
2023-07-17 19:54:53 | INFO | dispatcher.py:329 | Run polling for bot @wb_auto_comment_bot id=6047290937 - 'Автоответчик WB'
2023-07-17 19:54:54 | INFO | dispatcher.py:160 | Update id=708640226 is handled. Duration 187 ms by bot id=6047290937
2023-07-17 19:54:57 | INFO | dispatcher.py:160 | Update id=708640227 is handled. Duration 125 ms by bot id=6047290937
2023-07-17 20:07:18 | INFO | dispatcher.py:520 | Polling stopped
2023-07-17 20:07:18 | INFO | dispatcher.py:345 | Polling stopped for bot @wb_auto_comment_bot id=6047290937 - 'Автоответчик WB'
2023-07-17 20:07:18 | ERROR | bot.py:89 | Возникла ошибка
2023-07-17 20:07:21 | INFO | __init__.py:2138 | Target [ID:612075626]: success
2023-07-17 20:07:21 | INFO | __init__.py:2138 | 1 messages successful sent.
2023-07-17 20:07:21 | INFO | dispatcher.py:493 | Start polling
